prompt,provedor,familia,categoria,eh_categoria,marcas_no_prompt,marcas_na_resposta,n_marcas_declarado,n_fontes,relevancia,tam_resposta,seeds,seed_branded
Motores de Micro-ondas,chatgpt,produto e categoria,micro-ondas,1,,,3,12,92,173,microondas,0
Micro-ondas Industriais,google_ai_mode,produto e categoria,micro-ondas,1,,,3,15,92,173,microondas,0
microondas que não enferruja por dentro,google_ai_overview,produto e categoria,micro-ondas,1,,,3,8,92,173,microondas,0
forno micro ondas e air fryer 3 em 1,google_ai_overview,produto e categoria,air fryer,1,,,3,13,92,173,microondas,0
Quais são as melhores dicas para fazer doce de leite no micro-ondas sem grudar ou transbordar?,google_ai_mode,comparacao e modelo,micro-ondas,1,,,3,9,92,173,microondas,0
microondas electrolux 23 litros efficient,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,3,9,92,173,microondas,0
microondas da samsung,google_ai_overview,produto e categoria,micro-ondas,1,samsung,samsung,3,9,92,173,microondas,0
preço de microondas na havan,google_ai_overview,preco e compra,micro-ondas,1,,,3,5,92,173,microondas,0
motor de prato de microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,3,9,92,173,microondas,0
"Como escolher a porta de micro-ondas ideal levando em conta tamanho, peso e compatibilidade com o modelo?",google_ai_mode,comparacao e modelo,micro-ondas,1,,,3,0,92,173,microondas,0
"Como escolher a porta de micro-ondas ideal levando em conta tamanho, peso e compatibilidade com o modelo?",chatgpt,comparacao e modelo,micro-ondas,1,,,3,11,92,173,microondas,0
Qual é a diferença entre transformador de microondas 110V e 220V e como escolher o certo para meu aparelho?,chatgpt,especificacao de produto,micro-ondas,1,,,3,13,92,173,microondas,0
Quais modelos de micro-ondas Bemol são ideais para cozinhas pequenas?,chatgpt,comparacao e modelo,micro-ondas,1,,,3,12,92,173,microondas,0
microondas grande 60 litros,google_ai_overview,especificacao de produto,micro-ondas,1,,,3,8,92,173,microondas,0
microondas 220v inox,google_ai_overview,especificacao de produto,micro-ondas,1,,,3,10,92,173,microondas,0
Microondas com Airfryer,google_ai_mode,produto e categoria,air fryer,1,,,3,9,92,173,microondas,0
Quais são os melhores modelos de micro-ondas de 33 litros disponíveis no Brasil atualmente e por quê?,gemini,especificacao de produto,micro-ondas,1,,,3,0,92,173,microondas,0
Qual micro-ondas LG de 20 a 30 litros oferece melhor custo-benefício para uma cozinha pequena?,chatgpt,especificacao de produto,micro-ondas,1,lg,lg,3,12,92,173,microondas,0
Micro-ondas em aço inox,chatgpt,especificacao de produto,micro-ondas,1,,electrolux,3,12,92,173,microondas,0
Micro-ondas em aço inox,google_ai_mode,especificacao de produto,micro-ondas,1,,,3,13,92,173,microondas,0
Micro-ondas Samsung,google_ai_mode,produto e categoria,micro-ondas,1,samsung,samsung,3,10,92,173,microondas,0
Quais são as melhores opções de micro-ondas 220V para cozinha pequena?,google_ai_mode,especificacao de produto,micro-ondas,1,,,3,10,92,173,microondas,0
Microondas 40–45 litros,chatgpt,especificacao de produto,micro-ondas,1,,electrolux,3,12,92,173,microondas,0
motor prato microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,3,8,92,173,microondas,0
"Vale a pena comprar um micro-ondas de 33 litros de marcas populares como Philco, Brastemp ou LG comparando preço e eficiência?",google_ai_mode,especificacao de produto,micro-ondas,1,brastemp|lg|philco,brastemp|lg|philco,3,0,92,173,microondas,0
"Vale a pena comprar um micro-ondas de 33 litros de marcas populares como Philco, Brastemp ou LG comparando preço e eficiência?",gemini,especificacao de produto,micro-ondas,1,brastemp|lg|philco,,3,0,92,173,microondas,0
quanto custa prato de microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,3,7,92,173,microondas,0
Qual é a melhor micro-ondas Oster para uso diário em casa?,gemini,comparacao e modelo,micro-ondas,1,oster,oster,3,0,92,173,microondas,0
Onde encontro micro-ondas Oster de embutir com 220V no Brasil?,google_ai_mode,especificacao de produto,micro-ondas,1,oster,oster,3,5,92,173,microondas,0
microondas forno e air fryer,google_ai_overview,produto e categoria,coccao,1,,panasonic,3,8,92,173,microondas,0
microondas 220v,google_ai_overview,especificacao de produto,micro-ondas,1,,electrolux|panasonic,3,9,92,173,microondas,0
Quais são os melhores micro-ondas Panasonic com função grill/dupla refeição?,chatgpt,comparacao e modelo,micro-ondas,1,panasonic,panasonic,3,11,92,173,microondas,0
micro ondas air fryer,google_ai_overview,produto e categoria,air fryer,1,,panasonic,2,7,92,173,microondas,0
Como devo limpar e manter um micro-ondas Bemol para prolongar a vida útil?,chatgpt,manutencao e limpeza,micro-ondas,1,,,2,24,92,173,microondas,0
Como escolher entre micro-ondas de 33L com 1400W e modelos com recursos extras como grill ou geração de vapor?,google_ai_mode,comparacao e modelo,micro-ondas,1,,,2,0,92,173,microondas,0
microondas e air fryer,google_ai_overview,produto e categoria,air fryer,1,,,2,12,92,173,microondas,0
Quais medidas e materiais são ideais para mesas de micro-ondas em casa?,chatgpt,produto e categoria,micro-ondas,1,,,2,12,92,173,microondas,0
airfryer microondas,google_ai_overview,produto e categoria,air fryer,1,,,2,7,92,173,microondas,0
magnetron microondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,2,9,92,173,microondas,0
microondas com airfryer é bom,google_ai_overview,produto e categoria,air fryer,1,,brastemp|panasonic,2,7,92,173,microondas,0
prato para microondas lg 30 litros,google_ai_overview,especificacao de produto,micro-ondas,1,lg,lg,2,6,92,173,microondas,0
forno microondas air fryer,google_ai_overview,produto e categoria,air fryer,1,,,2,14,92,173,microondas,0
microondas prata electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,2,7,92,173,microondas,0
microondas fazendo barulho de curto,google_ai_overview,defeito e problema,micro-ondas,1,,,2,16,92,173,microondas,0
Quais modelos de micro-ondas com airfryer são mais eficientes para cozinhar em família no dia a dia?,chatgpt,comparacao e modelo,air fryer,1,,,2,13,92,173,microondas,0
Quais modelos de micro-ondas com airfryer são mais eficientes para cozinhar em família no dia a dia?,gemini,comparacao e modelo,air fryer,1,,,2,0,92,173,microondas,0
Micro-ondas 33L,gemini,produto e categoria,micro-ondas,1,,,2,0,92,173,microondas,0
micro ondas philco pme25,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,2,6,92,173,microondas,0
micro-ondas 33l philco teclas fáceis limpa fácil 1400w pm36,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,2,11,92,173,microondas,0
Você pode me indicar qual é o melhor micro-ondas LG para cozinhar rápido em família?,chatgpt,comparacao e modelo,micro-ondas,1,lg,lg,2,8,92,173,microondas,0
Qual potência (em watts) é ideal para um micro-ondas industrial em cozinha profissional?,google_ai_mode,comparacao e modelo,micro-ondas,1,,,2,12,92,173,microondas,0
"Como escolher o prato de micro-ondas certo ao comprar pela internet: tamanho, material e compatibilidade com o meu modelo?",google_ai_mode,preco e compra,micro-ondas,1,,,2,8,92,173,microondas,0
Qual é a melhor opção de micro-ondas de 45 litros para uso familiar?,gemini,especificacao de produto,micro-ondas,1,,,2,4,92,173,microondas,0
microondas irradiação,google_ai_overview,produto e categoria,micro-ondas,1,,,2,7,92,173,microondas,0
microondas air fryer,google_ai_overview,produto e categoria,air fryer,1,,,2,7,92,173,microondas,0
microondas electrolux 40 litros,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,2,8,92,173,microondas,0
Quais receitas fáceis de doces no micro-ondas você recomendaria para iniciantes?,gemini,uso e receita,micro-ondas,1,,,2,0,92,173,microondas,0
air fryer com microondas,google_ai_overview,produto e categoria,air fryer,1,,,2,4,92,173,microondas,0
microondas 38 litros electrolux,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,2,7,92,173,microondas,0
Mesas para micro-ondas,google_ai_mode,produto e categoria,micro-ondas,1,,,2,7,92,173,microondas,0
microondas em inox,google_ai_overview,especificacao de produto,micro-ondas,1,,,2,6,92,173,microondas,0
Quais marcas de brinquedos com micro-ondas são mais seguras para crianças pequenas?,google_ai_mode,produto e categoria,micro-ondas,1,,,2,2,92,173,microondas,0
Quais são as melhores funções de um micro-ondas Samsung para uso diário em casa?,google_ai_mode,comparacao e modelo,micro-ondas,1,samsung,samsung,2,6,92,173,microondas,0
Vale a pena comprar um micro-ondas Oster em promoção nos sites de varejo?,google_ai_mode,preco e compra,micro-ondas,1,oster,oster,2,5,92,173,microondas,0
microondas 33l,google_ai_overview,produto e categoria,micro-ondas,1,,philco|britania,2,5,92,173,microondas,0
prato de microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,2,11,92,173,microondas,0
microondas 33 litros,google_ai_overview,especificacao de produto,micro-ondas,1,,philco|britania,2,10,92,173,microondas,0
doce de leite no microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,2,6,92,173,microondas,0
portas de micro-ondas,google_ai_mode,produto e categoria,micro-ondas,1,,,2,8,92,173,microondas,0
microondas airfryer,google_ai_overview,produto e categoria,air fryer,1,,,2,8,92,173,microondas,0
Microondas com Airfryer,chatgpt,produto e categoria,air fryer,1,,,2,12,92,173,microondas,0
micro-ondas 23l,google_ai_overview,produto e categoria,micro-ondas,1,,electrolux|brastemp,2,9,92,173,microondas,0
transformador para microondas 220v,google_ai_overview,especificacao de produto,micro-ondas,1,,,2,10,92,173,microondas,0
Microondas 40–45 litros,gemini,especificacao de produto,micro-ondas,1,,,2,0,92,173,microondas,0
Quais são os melhores modelos de micro-ondas disponíveis na Fast Shop neste momento?,gemini,comparacao e modelo,micro-ondas,1,,,2,0,92,173,microondas,0
transformador 220 para 110 para microondas,google_ai_overview,especificacao de produto,micro-ondas,1,,,2,6,92,173,microondas,0
Pratos de Micro-ondas,google_ai_mode,produto e categoria,micro-ondas,1,,,2,10,92,173,microondas,0
teste trafo microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,2,3,92,173,microondas,0
forno microondas e air fryer 3 em 1,google_ai_overview,produto e categoria,air fryer,1,,,2,10,92,173,microondas,0
What should I look for when buying a microwave or microwave oven for a small apartment?,google_ai_mode,produto e categoria,sem categoria,0,,,2,22,92,173,microondas,0
micro-ondas da philco espelhado,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,2,4,92,173,microondas,0
air fryer e microondas,google_ai_overview,produto e categoria,air fryer,1,,,2,7,92,173,microondas,0
o que são microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,2,6,92,173,microondas,0
microondas electrolux com grill,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,2,8,92,173,microondas,0
sobremesa de micro ondas,google_ai_overview,produto e categoria,micro-ondas,1,,,2,5,92,173,microondas,0
Quais materiais de prato para micro-ondas são melhores para uso diário e para limpar?,google_ai_mode,manutencao e limpeza,micro-ondas,1,,,2,21,92,173,microondas,0
Quais recursos são mais importantes ao escolher um micro-ondas Mondial para uso diário em casa?,google_ai_mode,comparacao e modelo,micro-ondas,1,mondial,mondial,1,8,92,173,microondas,0
Quais recursos são mais importantes ao escolher um micro-ondas Mondial para uso diário em casa?,gemini,comparacao e modelo,micro-ondas,1,mondial,mondial,1,0,92,173,microondas,0
microondas electrolux valor,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,7,92,173,microondas,0
Vale a pena escolher um micro-ondas Bemol com grill ou convecção em comparação aos tradicionais?,google_ai_mode,comparacao e modelo,micro-ondas,1,,,1,0,92,173,microondas,0
Vale a pena escolher um micro-ondas Bemol com grill ou convecção em comparação aos tradicionais?,gemini,comparacao e modelo,micro-ondas,1,,,1,0,92,173,microondas,0
Vale a pena escolher um micro-ondas Bemol com grill ou convecção em comparação aos tradicionais?,chatgpt,comparacao e modelo,micro-ondas,1,,,1,12,92,173,microondas,0
magnetron de micro-ondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,7,92,173,microondas,0
micro ondas lg easy clean,google_ai_overview,produto e categoria,micro-ondas,1,lg,lg,1,5,92,173,microondas,0
microondas electrolux 23l efficient,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,10,92,173,microondas,0
Quais modelos de micro-ondas embutidos da Tramontina são mais indicados para cozinhas modernas?,gemini,comparacao e modelo,micro-ondas,1,tramontina,tramontina,1,0,92,173,microondas,0
Quais modelos de micro-ondas embutidos da Tramontina são mais indicados para cozinhas modernas?,chatgpt,comparacao e modelo,micro-ondas,1,tramontina,tramontina,1,12,92,173,microondas,0
Micro-ondas Oster,gemini,produto e categoria,micro-ondas,1,oster,oster,1,0,92,173,microondas,0
Micro-ondas Oster,google_ai_mode,produto e categoria,micro-ondas,1,oster,oster,1,7,92,173,microondas,0
prato para microondas lg,google_ai_overview,produto e categoria,micro-ondas,1,lg,lg,1,6,92,173,microondas,0
microondas da cancer,google_ai_overview,produto e categoria,micro-ondas,1,,,1,13,92,173,microondas,0
electrolux 23 litros,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,10,92,173,microondas,0
microondas faz mal a saúde,google_ai_overview,produto e categoria,micro-ondas,1,,,1,7,92,173,microondas,0
Qual a diferença entre micro-ondas de embutir Tramontina e o forno micro-ondas tradicional da mesma marca em termos de espaço e uso?,google_ai_mode,comparacao e modelo,micro-ondas,1,tramontina,tramontina,1,0,92,173,microondas,0
Qual a diferença entre micro-ondas de embutir Tramontina e o forno micro-ondas tradicional da mesma marca em termos de espaço e uso?,chatgpt,comparacao e modelo,micro-ondas,1,tramontina,tramontina,1,28,92,173,microondas,0
Qual a diferença entre micro-ondas de embutir Tramontina e o forno micro-ondas tradicional da mesma marca em termos de espaço e uso?,gemini,comparacao e modelo,micro-ondas,1,tramontina,tramontina,1,0,92,173,microondas,0
microondas electrolux painel integrado,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,8,92,173,microondas,0
philco microondas,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,1,6,92,173,microondas,0
radiação microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,10,92,173,microondas,0
microondas panasonic manual,google_ai_overview,garantia e suporte,micro-ondas,1,panasonic,panasonic,1,8,92,173,microondas,0
magnetro,google_ai_overview,produto e categoria,sem categoria,0,,,1,7,92,173,microondas,0
preço microondas electrolux,google_ai_overview,preco e compra,micro-ondas,1,electrolux,electrolux,1,7,92,173,microondas,0
como colocar hora no micro ondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,6,92,173,microondas,0
micro ondas tramontina,google_ai_overview,produto e categoria,micro-ondas,1,tramontina,tramontina,1,9,92,173,microondas,0
como o microondas funciona,google_ai_overview,produto e categoria,micro-ondas,1,,,1,5,92,173,microondas,0
microondas inox lg,google_ai_overview,especificacao de produto,micro-ondas,1,lg,lg,1,8,92,173,microondas,0
melhor microondas electrolux,google_ai_overview,comparacao e modelo,micro-ondas,1,electrolux,electrolux,1,12,92,173,microondas,0
micro ondas 31l electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,5,92,173,microondas,0
microondas panasonic com grill,google_ai_overview,produto e categoria,micro-ondas,1,panasonic,panasonic,1,7,92,173,microondas,0
Micro-ondas sem prato e flat,gemini,produto e categoria,micro-ondas,1,,,1,0,92,173,microondas,0
Micro-ondas sem prato e flat,google_ai_mode,produto e categoria,micro-ondas,1,,philco,1,15,92,173,microondas,0
microondas da electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,12,92,173,microondas,0
valor microondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,9,92,173,microondas,0
microondas é radioativo,google_ai_overview,produto e categoria,micro-ondas,1,,,1,12,92,173,microondas,0
microondas samsung 40 litros,google_ai_overview,especificacao de produto,micro-ondas,1,samsung,samsung,1,1,92,173,microondas,0
Como limpar e manter o inox do micro-ondas sem riscar ou danificar a superfície?,google_ai_mode,manutencao e limpeza,micro-ondas,1,,,1,17,92,173,microondas,0
"Entre os modelos Mondial com espelho inox e vidro espelhado, qual é mais durável e fácil de limpar?",gemini,manutencao e limpeza,sem categoria,0,mondial,mondial,1,0,92,173,microondas,0
"Entre os modelos Mondial com espelho inox e vidro espelhado, qual é mais durável e fácil de limpar?",google_ai_mode,manutencao e limpeza,sem categoria,0,mondial,mondial,1,1,92,173,microondas,0
"Entre os modelos Mondial com espelho inox e vidro espelhado, qual é mais durável e fácil de limpar?",chatgpt,manutencao e limpeza,sem categoria,0,mondial,mondial,1,11,92,173,microondas,0
placa microondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,9,92,173,microondas,0
microondas electrolux inox,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,14,92,173,microondas,0
Você recomendaria algum modelo específico da Tramontina para quem busca eficiência energética e boa performance no micro-ondas?,chatgpt,comparacao e modelo,micro-ondas,1,tramontina,tramontina,1,15,92,173,microondas,0
Você recomendaria algum modelo específico da Tramontina para quem busca eficiência energética e boa performance no micro-ondas?,google_ai_mode,comparacao e modelo,micro-ondas,1,tramontina,tramontina,1,0,92,173,microondas,0
Você recomendaria algum modelo específico da Tramontina para quem busca eficiência energética e boa performance no micro-ondas?,gemini,comparacao e modelo,micro-ondas,1,tramontina,tramontina,1,0,92,173,microondas,0
micro-ondas panasonic 21 l,google_ai_overview,produto e categoria,micro-ondas,1,panasonic,panasonic,1,8,92,173,microondas,0
microondas electrolux 127v,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,7,92,173,microondas,0
microondas grande 45 litros electrolux,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,5,92,173,microondas,0
forno microondas panasonic,google_ai_overview,produto e categoria,micro-ondas,1,panasonic,panasonic,1,11,92,173,microondas,0
electrolux microondas,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,3,92,173,microondas,0
microondas pratica,google_ai_overview,produto e categoria,micro-ondas,1,,,1,7,92,173,microondas,0
microondas causa câncer,google_ai_overview,produto e categoria,micro-ondas,1,,,1,8,92,173,microondas,0
mesas para microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,9,92,173,microondas,0
electrolux microondas inox,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,0,92,173,microondas,0
radiações do microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,17,92,173,microondas,0
micro-ondas da philco,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,1,6,92,173,microondas,0
Micro-ondas Elettromec,chatgpt,produto e categoria,micro-ondas,1,,,1,0,92,173,microondas,0
Micro-ondas Elettromec,google_ai_mode,produto e categoria,micro-ondas,1,,,1,8,92,173,microondas,0
Micro-ondas Elettromec,gemini,produto e categoria,micro-ondas,1,,,1,0,92,173,microondas,0
tramontina microondas,google_ai_overview,produto e categoria,micro-ondas,1,tramontina,tramontina,1,7,92,173,microondas,0
microondas panasonic é bom,google_ai_overview,produto e categoria,micro-ondas,1,panasonic,panasonic,1,13,92,173,microondas,0
faz mal esquentar comida no micro-ondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,10,92,173,microondas,0
microondas panasonic 220v,google_ai_overview,especificacao de produto,micro-ondas,1,panasonic,panasonic,1,11,92,173,microondas,0
microondas mondial é bom,google_ai_overview,produto e categoria,micro-ondas,1,mondial,mondial,1,8,92,173,microondas,0
pme25,google_ai_overview,produto e categoria,sem categoria,0,,philco,1,10,92,173,microondas,0
quando surgiu o microondas no brasil,google_ai_overview,produto e categoria,micro-ondas,1,,,1,8,92,173,microondas,0
"Como escolher entre um micro-ondas Consul de 20L, 30L ou maior para minha cozinha?",chatgpt,comparacao e modelo,micro-ondas,1,consul,consul,1,12,92,173,microondas,0
"Como escolher entre um micro-ondas Consul de 20L, 30L ou maior para minha cozinha?",google_ai_mode,comparacao e modelo,micro-ondas,1,consul,consul,1,14,92,173,microondas,0
"Como escolher entre um micro-ondas Consul de 20L, 30L ou maior para minha cozinha?",gemini,comparacao e modelo,micro-ondas,1,consul,,1,0,92,173,microondas,0
esquentar comida no microondas faz mal,google_ai_overview,produto e categoria,micro-ondas,1,,,1,8,92,173,microondas,0
Panasonic micro-ondas,chatgpt,produto e categoria,micro-ondas,1,panasonic,panasonic,1,13,92,173,microondas,0
Panasonic micro-ondas,gemini,produto e categoria,micro-ondas,1,panasonic,panasonic,1,0,92,173,microondas,0
Panasonic micro-ondas,google_ai_mode,produto e categoria,micro-ondas,1,panasonic,panasonic,1,17,92,173,microondas,0
preço do micro-ondas electrolux,google_ai_overview,preco e compra,micro-ondas,1,electrolux,electrolux,1,7,92,173,microondas,0
microondas 20 litros philco pme25 1100w limpa fácil espelhado,google_ai_overview,especificacao de produto,micro-ondas,1,philco,philco,1,2,92,173,microondas,0
microondas 30 litros branco electrolux,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,6,92,173,microondas,0
"Quais recursos ( grill, forno, descongelamento) devo procurar ao escolher um micro-ondas na Fast Shop?",gemini,manutencao e limpeza,micro-ondas,1,,,1,0,92,173,microondas,0
brastemp ative microondas inox,google_ai_overview,especificacao de produto,micro-ondas,1,brastemp,brastemp,1,10,92,173,microondas,0
microondas brastemp com grill,google_ai_overview,produto e categoria,micro-ondas,1,brastemp,brastemp,1,13,92,173,microondas,0
motor de prato microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,7,92,173,microondas,0
microondas em inox brastemp,google_ai_overview,especificacao de produto,micro-ondas,1,brastemp,brastemp,1,11,92,173,microondas,0
magnetron do micro-ondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,8,92,173,microondas,0
forno microondas brastemp 30 litros,google_ai_overview,especificacao de produto,micro-ondas,1,brastemp,brastemp,1,10,92,173,microondas,0
tira odor microondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,11,92,173,microondas,0
microondas brastemp 40 litros inox,google_ai_overview,especificacao de produto,micro-ondas,1,brastemp,brastemp,1,5,92,173,microondas,0
microondas electrolux 20 litros espelhado,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,8,92,173,microondas,0
Doces de Microondas,chatgpt,produto e categoria,micro-ondas,1,,,1,12,92,173,microondas,0
microondas panasonic e bom,google_ai_overview,produto e categoria,micro-ondas,1,panasonic,panasonic,1,10,92,173,microondas,0
prato do microondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,7,92,173,microondas,0
microondas electrolux mi41s,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,8,92,173,microondas,0
air fryer panasonic,google_ai_overview,produto e categoria,air fryer,1,panasonic,panasonic,1,6,92,173,microondas,0
motor do prato do microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,8,92,173,microondas,0
micro ondas 20 litros electrolux,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,6,92,173,microondas,0
micro-ondas panasonic 34 litros,google_ai_overview,especificacao de produto,micro-ondas,1,panasonic,panasonic,1,5,92,173,microondas,0
Micro-ondas 33L,google_ai_mode,produto e categoria,micro-ondas,1,,,1,0,92,173,microondas,0
"Quais são as diferenças entre os modelos LG com espelhado, inox, e grill?",gemini,especificacao de produto,sem categoria,0,lg,lg,1,0,92,173,microondas,0
"Quais são as diferenças entre os modelos LG com espelhado, inox, e grill?",chatgpt,especificacao de produto,sem categoria,0,lg,lg,1,12,92,173,microondas,0
"Quais são as diferenças entre os modelos LG com espelhado, inox, e grill?",google_ai_mode,especificacao de produto,sem categoria,0,lg,lg,1,12,92,173,microondas,0
microondas 25 litros brastemp,google_ai_overview,especificacao de produto,micro-ondas,1,brastemp,brastemp,1,6,92,173,microondas,0
panasonic micro ondas,google_ai_overview,produto e categoria,micro-ondas,1,panasonic,panasonic,1,7,92,173,microondas,0
magnetron do microondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,10,92,173,microondas,0
o que são micro ondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,6,92,173,microondas,0
microondas 4 em 1 panasonic,google_ai_overview,produto e categoria,micro-ondas,1,panasonic,panasonic,1,9,92,173,microondas,0
micro ondas electrolux efficient 23l,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,14,92,173,microondas,0
microondas espelhado electrolux 31l,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,8,92,173,microondas,0
microondas 50 litros brastemp,google_ai_overview,especificacao de produto,micro-ondas,1,brastemp,brastemp,1,6,92,173,microondas,0
microondas brastemp 35 litros,google_ai_overview,especificacao de produto,micro-ondas,1,brastemp,brastemp,1,5,92,173,microondas,0
magnetron microondas consul,google_ai_overview,produto e categoria,micro-ondas,1,consul,consul,1,12,92,173,microondas,0
microondas panasonic 34 litros 220v,google_ai_overview,especificacao de produto,micro-ondas,1,panasonic,panasonic,1,7,92,173,microondas,0
forno microondas philco,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,1,8,92,173,microondas,0
micro-ondas mondial é bom,google_ai_overview,produto e categoria,micro-ondas,1,mondial,mondial,1,8,92,173,microondas,0
microondas flat philco,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,1,5,92,173,microondas,0
forno de microondas brastemp,google_ai_overview,produto e categoria,micro-ondas,1,brastemp,brastemp,1,6,92,173,microondas,0
microondas brastemp 38 litros inox,google_ai_overview,especificacao de produto,micro-ondas,1,brastemp,brastemp,1,8,92,173,microondas,0
microondas com airfryer brastemp,google_ai_overview,produto e categoria,air fryer,1,brastemp,brastemp,1,11,92,173,microondas,0
microondas preto eletrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,9,92,173,microondas,0
microondas oster 30 litros,google_ai_overview,especificacao de produto,micro-ondas,1,oster,oster,1,7,92,173,microondas,0
panasonic air fryer,google_ai_overview,produto e categoria,air fryer,1,panasonic,panasonic,1,9,92,173,microondas,0
Você pode me indicar qual é o melhor micro-ondas LG para cozinhar rápido em família?,google_ai_mode,comparacao e modelo,micro-ondas,1,lg,lg,1,10,92,173,microondas,0
Você pode me indicar qual é o melhor micro-ondas LG para cozinhar rápido em família?,gemini,comparacao e modelo,micro-ondas,1,lg,lg,1,0,92,173,microondas,0
microondas inox de embutir electrolux,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,5,92,173,microondas,0
microondas de embutir consul 220v,google_ai_overview,especificacao de produto,micro-ondas,1,consul,consul,1,7,92,173,microondas,0
microondas electrolux tira odor,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,9,92,173,microondas,0
forno micro ondas philco,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,1,6,92,173,microondas,0
microondas philco flat,google_ai_overview,produto e categoria,micro-ondas,1,philco,philco,1,5,92,173,microondas,0
como colocar horário no micro-ondas electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,7,92,173,microondas,0
Quais fatores devo considerar ao instalar um micro-ondas Tramontina embutido na minha cozinha?,google_ai_mode,instalacao,micro-ondas,1,tramontina,tramontina,1,0,92,173,microondas,0
Quais fatores devo considerar ao instalar um micro-ondas Tramontina embutido na minha cozinha?,gemini,instalacao,micro-ondas,1,tramontina,,1,0,92,173,microondas,0
Quais fatores devo considerar ao instalar um micro-ondas Tramontina embutido na minha cozinha?,chatgpt,instalacao,micro-ondas,1,tramontina,tramontina,1,22,92,173,microondas,0
microondas 23l electrolux,google_ai_overview,produto e categoria,micro-ondas,1,electrolux,electrolux,1,9,92,173,microondas,0
motorzinho microondas,google_ai_overview,produto e categoria,micro-ondas,1,,,1,5,92,173,microondas,0
microondas electrolux 32 litros,google_ai_overview,especificacao de produto,micro-ondas,1,electrolux,electrolux,1,5,92,173,microondas,0
